CO,NO2,O3,AQI,CO AQI,NO2 AQI,O3 AQI,PM2.5 AQI
0.0396216250956058,0.0002012121549341,0.1400122940540313,65,5.0,19.0,44.0,65.0
0.0372551493346691,5.272691123536788e-05,0.1664632856845855,37,2.0,18.0,37.0,32.0
0.0409371722892901,0.0001096377636739,0.1488198236381341,41,5.0,23.0,41.0,40.0
0.0409371722892901,0.0001096377636739,0.1319413073242767,42,3.0,18.0,40.0,42.0
0.0352213155262781,0.0001096377636739,0.1754189282655716,39,2.0,10.0,39.0,25.0
0.0385484136641025,0.0001304155885009,0.1597902774810791,39,3.0,14.0,39.0,25.0
0.0346921160817146,6.840891728643328e-05,0.1421023458242416,37,2.0,16.0,35.0,37.0
0.0276386222926256,6.840891728643328e-05,0.2083546966314315,35,3.0,18.0,33.0,35.0
0.0356313399970531,0.0001497405566754,0.1673266128638666,42,6.0,18.0,32.0,42.0
0.0373381823301315,0.0001497760116893,0.1700398073185131,43,5.0,21.0,35.0,43.0
0.0346799381077289,0.0001497760116893,0.1637007731518004,37,3.0,17.0,37.0,32.0
0.0342931896448135,0.0002467685375922,0.1828893505159848,46,6.0,25.0,33.0,46.0
0.0365306607075395,0.0001871676440825,0.1614048778710464,53,6.0,26.0,36.0,53.0
0.0359263127805163,0.000156010742196,0.1558407059499733,70,5.0,24.0,39.0,70.0
0.0387238727573944,0.0002337688004579,0.1572721930291993,68,5.0,23.0,41.0,68.0
0.0322657451033592,0.0002337688004579,0.1734304130077362,47,2.0,11.0,35.0,47.0
0.0370120182633399,0.0001616050867596,0.1506731510162353,48,3.0,18.0,37.0,48.0
0.0387281663715839,0.0002693147107493,0.1435662657022476,65,5.0,22.0,38.0,65.0
0.0365408005420544,0.0002583483583293,0.142087236046791,66,5.0,24.0,39.0,66.0
0.0367214158177375,0.0002222891743026,0.1443205377823665,58,5.0,20.0,43.0,58.0
0.0353133454918861,0.0002027597511187,0.1435571610927581,52,3.0,15.0,41.0,52.0
0.0361270606517791,0.0001158281046458,0.1388814143078132,56,3.0,20.0,45.0,56.0
0.0328588383838271,6.215738540049642e-05,0.1432426422834396,61,5.0,19.0,58.0,61.0
0.0324352420866489,0.0001278243898454,0.1396142240951873,71,7.0,30.0,71.0,56.0
0.0281921494752168,0.0001278243898454,0.1328586041927337,84,6.0,42.0,84.0,59.0
0.0331737361848354,0.0002332975280423,0.1415012382392466,64,6.0,28.0,40.0,64.0
0.0330239199101924,0.0002188199287047,0.1464153975248336,66,3.0,20.0,38.0,66.0
0.0344577799957515,0.0002188199287047,0.1417748265460254,55,3.0,14.0,32.0,55.0
0.0346788540482521,0.0001396068983012,0.1387227028608322,56,2.0,9.0,41.0,56.0
0.033158717041544,0.0001440710153752,0.1535277467344077,59,3.0,10.0,39.0,59.0
0.0300390347838401,0.0001440710153752,0.1538738012313842,45,3.0,18.0,30.0,45.0
